2020-10-28 08:56:47 ::1  GET /type/query/all 404 /type/query/all {} 1492 - 308.113 ms PostmanRuntime/7.26.5
2020-10-28 10:17:14 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 6.844 ms PostmanRuntime/7.26.5
2020-10-28 10:17:17 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 4.761 ms PostmanRuntime/7.26.5
2020-10-28 10:17:21 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 4.789 ms PostmanRuntime/7.26.5
2020-10-28 10:18:48 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 234.970 ms PostmanRuntime/7.26.5
2020-10-28 10:20:39 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 138.626 ms PostmanRuntime/7.26.5
2020-10-28 10:21:22 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 11.955 ms PostmanRuntime/7.26.5
2020-10-28 10:22:09 ::1  GET /login/info 400 /login/info {} 1092 - 7.937 ms PostmanRuntime/7.26.5
2020-10-28 10:22:11 ::1  GET /login/info 400 /login/info {} 1092 - 12.798 ms PostmanRuntime/7.26.5
2020-10-28 10:22:12 ::1  GET /login/info 400 /login/info {} 1092 - 5.655 ms PostmanRuntime/7.26.5
2020-10-28 10:22:13 ::1  GET /login/info 400 /login/info {} 1092 - 7.523 ms PostmanRuntime/7.26.5
2020-10-28 10:22:14 ::1  GET /login/info 400 /login/info {} 1092 - 7.324 ms PostmanRuntime/7.26.5
2020-10-28 10:26:38 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 5.883 ms PostmanRuntime/7.26.5
2020-10-28 10:26:43 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 6.217 ms PostmanRuntime/7.26.5
2020-10-28 10:28:19 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 7.910 ms PostmanRuntime/7.26.5
2020-10-28 10:28:20 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 7.205 ms PostmanRuntime/7.26.5
2020-10-28 10:28:21 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 5.364 ms PostmanRuntime/7.26.5
2020-10-28 10:28:22 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 8.550 ms PostmanRuntime/7.26.5
2020-10-28 10:42:05 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 231.535 ms PostmanRuntime/7.26.5
2020-10-28 10:42:11 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 11.471 ms PostmanRuntime/7.26.5
2020-10-28 10:42:11 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 7.661 ms PostmanRuntime/7.26.5
2020-10-28 10:42:12 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 12.023 ms PostmanRuntime/7.26.5
2020-10-28 10:42:13 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 5.075 ms PostmanRuntime/7.26.5
2020-10-28 10:42:43 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 8.496 ms PostmanRuntime/7.26.5
2020-10-28 10:43:07 ::1  GET /login/info?token=9CCwaHgyAqB7aT4M 400 /login/info?token=9CCwaHgyAqB7aT4M {} 1092 - 6.166 ms PostmanRuntime/7.26.5
2020-10-28 10:47:49 ::1  POST /login/logtou 404 /login/logtou {} 1492 - 234.070 ms PostmanRuntime/7.26.5
